Наименование;Итого;Лек;Лаб;Пр;КРП;СР;Контроль;Итого;Лек;Лаб;Пр;КРП;СР;Контроль;Итого;Лек;Лаб;Пр;КРП;СР;Контроль;Итого;Лек;Лаб;Пр;КРП;СР;Контроль;Итого;Лек;Лаб;Пр;КРП;СР;Контроль;Итого;Лек;Лаб;Пр;КРП;СР;Контроль;Итого;Лек;Лаб;Пр;КРП;СР;Контроль;Итого;Лек;Лаб;Пр;КРП;СР;Контроль
Информатика;144;34;8;26;;31;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Безопасность жизнедеятельности;108;34;;34;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
История России;72;41;;17;;14;;72;41;;17;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Введение в программирование;144;34;;34;;40;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Математический анализ;144;34;;34;;76;;216;52;;50;;69;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Иностранный язык;108;;;68;;40;;108;;;68;;40;;72;;;68;;4;;72;;;68;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Физика;;;;;;;;;;;;;;;;;;;;;;144;34;4;30;;40;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Теория вероятностей и математическая статистика;;;;;;;;;;;;;;;144;34;;34;1;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Структуры и алгоритмы обработки данных;;;;;;;;;;;;;;;144;34;;34;;76;;144;16;;34;;58;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Технологии баз данных;;;;;;;;;;;;;;;;;;;;;;108;16;;34;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Моделирование систем;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;34;;34;;76;;;;;;;;;;;;;;;;;;;;;;
Физическая культура и спорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;10;;22;;4;;36;10;;22;;4;;;;;;;;;;;;;;;
Философия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;34;;34;;40;;;;;;;;;;;;;;;;;;;;;;
Элективные дисциплины (модули) по физической культуре и спорту;66;;;66;;;;66;;;66;;;;66;;;66;;;;66;;;66;;;;32;;;32;;;;32;;;32;;;;;;;;;;;;;;;;;
